Target,Horizonte,Algoritmo,RMSE_CV_macro_empresa,RMSE_CV_macro_empresa_std,MAE_CV_macro_empresa,SMAPE_CV_macro_empresa,SMAPE_CV_macro_empresa_std,R2_CV_macro_empresa,R2_CV_pooled,R2_within_CV,TheilU_CV_macro_empresa,DA_CV_macro_empresa,RMSE_CV_pooled,SMAPE_CV_pooled,n_folds_wf,transformacao,log_transform,best_params
TARGET_DRE_3.01_ITR_T1,_ITR_T1,Ridge,5277242.892515053,481825.59949354583,4143575.434938656,0.4064083387161735,0.010447673583780905,-0.033377241134257475,0.5861044448738423,-0.3058114594269781,0.6086953647140506,0.5555555555555555,36611016.3968076,0.47847604577578323,3.0,log1p,True,{'ridge__alpha': 100.0}
TARGET_DRE_3.01_ITR_T1,_ITR_T1,SVR,6866729.448576058,1792749.22294499,5684786.083027866,0.9533589978546365,0.021938918687531752,-3.343296194213013,-0.16857003744293375,-0.25488069222577653,1.3287828284885534,0.3333333333333333,61481301.80198169,1.0182938876543945,3.0,log1p,True,"{'svr__C': 1.0, 'svr__epsilon': 0.05, 'svr__gamma': 'scale'}"
TARGET_DRE_3.01_ITR_T1,_ITR_T1,RandomForest,2276317.859416504,317852.6928287646,1926223.8782293275,0.25739629638791817,0.06333988694168736,0.5922623121500221,0.6685907048710725,0.40876235993123117,0.3592724745679725,0.6666666666666666,32314569.701663334,0.29538960354398125,3.0,log1p,True,"{'rf__max_depth': 5, 'rf__n_estimators': 200}"
TARGET_DRE_3.01_ITR_T1,_ITR_T1,GradientBoosting,1283282.3204158894,123586.92764589252,1011798.8664914222,0.16499092482274438,0.032885463977577425,0.8330911870807046,0.7680068815900739,0.5788402919724513,0.26854754594061175,0.6666666666666666,26786290.431045692,0.2105264433034759,3.0,log1p,True,"{'gb__learning_rate': 0.03, 'gb__max_depth': 4, 'gb__n_estimators': 300, 'gb__subsample': 0.8}"
TARGET_DRE_3.01_ITR_T1,_ITR_T1,Ensemble,1779800.0899161967,220719.81023732858,1469011.3723603748,0.21119361060533126,0.048112675459632395,0.7126767496153634,0.7182987932305732,0.49380132595184123,0.3139100102542921,0.6666666666666666,29550430.066354513,0.2529580234237286,3.0,log1p,1.0,"{'gb__learning_rate': 0.03, 'gb__max_depth': 4, 'gb__n_estimators': 300, 'gb__subsample': 0.8}"
TARGET_DRE_3.01_ITR_T2,_ITR_T2,Ridge,4955506.068058323,632140.5210553446,4342641.1335562095,0.3920058047855304,0.06927133047100237,-0.6402167669706366,0.07795627107534071,-4.08495260735745,0.6053189940849705,0.6666666666666666,50826123.873146586,0.4572539648504022,3.0,log1p,True,{'ridge__alpha': 100.0}
TARGET_DRE_3.01_ITR_T2,_ITR_T2,SVR,7942560.600411541,2720090.6562318574,6442936.420363751,0.9329881002372972,0.0534081179943123,-5.802939741405235,-0.10264415947767273,-0.4053826523915672,1.1442955967073516,0.3333333333333333,65395384.70098814,0.9848312792929005,3.0,log1p,True,"{'svr__C': 10.0, 'svr__epsilon': 0.05, 'svr__gamma': 'scale'}"
TARGET_DRE_3.01_ITR_T2,_ITR_T2,RandomForest,2725396.253223242,117226.3196003048,2170698.566977383,0.19645825685549959,0.03155903360802581,0.5585597639538555,0.8377328750918108,0.5383361313730197,0.29659923423571516,0.6666666666666666,24824675.198924616,0.24154719410448344,3.0,log1p,True,"{'rf__max_depth': 5, 'rf__n_estimators': 200}"
TARGET_DRE_3.01_ITR_T2,_ITR_T2,GradientBoosting,1754243.1549185617,190157.10450335784,1472762.8215382379,0.14987780690895094,0.029918835854171537,0.7180300281314662,0.8783137527097509,0.6946055759044668,0.22438062275742152,0.6666666666666666,21224527.994443007,0.19983613649650608,3.0,log1p,True,"{'gb__learning_rate': 0.03, 'gb__max_depth': 4, 'gb__n_estimators': 300, 'gb__subsample': 0.8}"
TARGET_DRE_3.01_ITR_T2,_ITR_T2,Ensemble,2239819.7040709015,153691.71205183133,1821730.6942578105,0.17316803188222527,0.030738934731098674,0.6382948960426609,0.8580233139007809,0.6164708536387433,0.2604899284965683,0.6666666666666666,23024601.59668381,0.22069166530049478,3.0,log1p,1.0,"{'gb__learning_rate': 0.03, 'gb__max_depth': 4, 'gb__n_estimators': 300, 'gb__subsample': 0.8}"
TARGET_DRE_3.01_ITR_T3,_ITR_T3,Ridge,6038198.912235707,2058035.7389720671,5354673.21725057,0.45889809574001533,0.1003863128501255,-0.3962213450686997,-0.1840254135699543,-4.292609288931625,1.2825380873345982,0.5555555555555555,75843867.15930583,0.5027369322767723,3.0,log1p,True,{'ridge__alpha': 100.0}
TARGET_DRE_3.01_ITR_T3,_ITR_T3,SVR,9594994.945169294,3050146.299884883,7781715.277562652,0.9173172991200674,0.08542017491014167,-3.808026490889704,-0.0329105439585183,-0.5361534755247215,2.0,0.2222222222222222,72392590.50414741,0.9666532881913977,3.0,log1p,True,"{'svr__C': 10.0, 'svr__epsilon': 0.05, 'svr__gamma': 'scale'}"
TARGET_DRE_3.01_ITR_T3,_ITR_T3,RandomForest,2683426.1144465576,161996.007749295,2270372.815479768,0.26729844191070334,0.057878135385161886,0.37368280603909904,0.7833470359367434,0.5784391674141094,0.696040426135425,0.6666666666666666,33163723.044275243,0.280499781558367,3.0,log1p,True,"{'rf__max_depth': 5, 'rf__n_estimators': 200}"
TARGET_DRE_3.01_ITR_T3,_ITR_T3,GradientBoosting,2033703.7003779002,63194.53352496648,1525627.5564246357,0.14352576604676145,0.02637604497952183,0.7784770219876166,0.8993534727473779,0.7457505482014649,0.4865503061458429,0.6666666666666666,21232617.22218803,0.1822827707859432,3.0,log1p,True,"{'gb__learning_rate': 0.03, 'gb__max_depth': 4, 'gb__n_estimators': 300, 'gb__subsample': 0.8}"
TARGET_DRE_3.01_ITR_T3,_ITR_T3,Ensemble,2358564.907412229,112595.27063713074,1898000.185952202,0.20541210397873239,0.042127090182341856,0.5760799140133578,0.8413502543420606,0.6620948578077872,0.5912953661406339,0.6666666666666666,27198170.133231636,0.2313912761721551,3.0,log1p,1.0,"{'gb__learning_rate': 0.03, 'gb__max_depth': 4, 'gb__n_estimators': 300, 'gb__subsample': 0.8}"
TARGET_DRE_3.01_DFP,_DFP,Ridge,10817847.84949222,2001290.4833431027,8711185.925676696,0.37382722623221804,0.051453408348574765,-48.42555677900734,-1.7740626285237704,-326.1929446401692,2.0,0.1111111111111111,161836140.33563915,0.4358573371249413,3.0,log1p,True,{'ridge__alpha': 100.0}
TARGET_DRE_3.01_DFP,_DFP,SVR,13611112.563388193,5172146.900393944,12258148.32408224,0.93890141709521,0.012635734787758068,-368.3643440538878,-0.12865571425929234,-65.82073453720726,2.0,0.3333333333333333,124666801.994792,0.9903069151800826,3.0,log1p,True,"{'svr__C': 10.0, 'svr__epsilon': 0.05, 'svr__gamma': 'scale'}"
TARGET_DRE_3.01_DFP,_DFP,RandomForest,5153149.035534372,769435.9421444858,4271598.147929836,0.24743191115724317,0.04779395831103548,-17.025417960366298,0.8881136374685861,-3.1277656949292543,2.0,0.3333333333333333,35937003.55979072,0.25930362348844277,3.0,log1p,True,"{'rf__max_depth': 5, 'rf__n_estimators': 200}"
TARGET_DRE_3.01_DFP,_DFP,GradientBoosting,3023825.5636817235,403328.67491655535,2622508.181521463,0.15212622175750845,0.02615102766607834,-7.1405948987094305,0.9060054389886553,-1.5565725263564651,2.0,0.3333333333333333,32960287.3503845,0.181521261307429,3.0,log1p,True,"{'gb__learning_rate': 0.05, 'gb__max_depth': 4, 'gb__n_estimators': 300, 'gb__subsample': 0.8}"
TARGET_DRE_3.01_DFP,_DFP,Ensemble,4088487.2996080476,586382.3085305205,3447053.1647256496,0.1997790664573758,0.03697249298855691,-12.083006429537864,0.8970595382286206,-2.3421691106428595,2.0,0.3333333333333333,34448645.45508761,0.2204124423979359,3.0,log1p,1.0,"{'gb__learning_rate': 0.05, 'gb__max_depth': 4, 'gb__n_estimators': 300, 'gb__subsample': 0.8}"
TARGET_DRE_3.11_ITR_T1,_ITR_T1,Ridge,867581.4370628214,116363.13002994444,769685.0926214707,1.0,0.0,-3.6834146121084856,-5.6483456492877354e+26,-2.2827238372614964e+27,1.3573734375947766,0.3333333333333333,2.1004238613717323e+20,1.7815624602187439,3.0,arcsinh,False,{'ridge__alpha': 100.0}
TARGET_DRE_3.11_ITR_T1,_ITR_T1,SVR,723376.4478113236,61895.495677512285,644764.6843783134,1.0,0.0,-2.5756784494072025,-0.09123434155488863,-0.008765275722353083,1.1776566085636817,0.3333333333333333,16523911.73500821,1.20580457606544,3.0,arcsinh,False,"{'svr__C': 1.0, 'svr__epsilon': 0.1, 'svr__gamma': 'scale'}"
